 차량명 , 크기 , 분류 ,브랜드,전기차여부, 기본가격 , 출시년월 ,23.01,23.02,23.03,23.04,23.05,23.06,23.07,23.08,23.09,23.10,23.11,23.12,24.01,24.02,24.03,24.04
폭스바겐 Arteon,중형,세단,폭스바겐,," 58,700,000 ",2023.07, 23 , 47 , 30 , 79 , 117 , 27 , 181 , 172 , 93 , 125 , 135 , 203 , 2 , 30 , 45 , 40 
폭스바겐 ID.4,중형,SUV,폭스바겐,전기차," 54,900,000 ",,,,, 1 , - , 107 , 4 , 277 , 222 , 153 , 146 , 83 , 2 , 7 , 351 , 159 
현대 디올뉴 산타페,중형,SUV,현대,,"38,880,000",2023.08,,,,,,,,550,"4,239","7,946","8,657","7,627","8,014","7,413","7,884","5,847"
현대 디올뉴 그랜저,준대형,세단,현대,,"42,660,000",2022.11,"9,118","9,815","10,916","9,997","11,581","11,528","8,531","8,820","8,159","8,192","7,980","8,410","3,635","3,963","6,100","7,085"
현대 더뉴 아반떼,준중형,세단,현대,,"24,660,000",2023.03,,,"6,536","5,243","6,556","5,298","4,000","4,595","4,146","4,886","5,713","4,990","4,392","2,230","4,113","5,698"
현대 쏘나타 디엣지,중형,세단,현대,,"31,870,000",2023.05,,,,,"1,729","2,951","2,142","2,600","2,540","4,546","4,574","4,855",496,"1,397","4,074","4,695"
현대 더뉴 투싼,중형,SUV,현대,,"32,130,000",2023.12,,,,,,,,,,,,"3,588","5,152","3,070","3,524","4,262"
현대 디올뉴 코나,소형,SUV,현대,,"29,590,000",2023.01,620,"3,127","4,747","4,023","2,448","2,470","2,400","2,340","2,293","2,597","2,777","1,900","1,972","1,397","2,395","2,528"
현대 팰리세이드,대형,SUV,현대,,"38,960,000",2022.05,"3,922","3,539","4,820","4,096","3,553","3,164","3,264","3,752","2,935","2,825","3,157","2,066","1,741","2,365","1,974","1,789"
현대 아이오닉5,중형,SUV,현대,전기차,"54,160,000",2021.04,76,"1,911","1,701","2,123","2,396","1,297","1,350","1,061",612,"1,376","1,669",763,34,221,"1,810",
현대 아이오닉6,중형,세단,현대,전기차,"54,050,000",2022.09,23,"1,632","2,200","1,316","1,117",491,488,400,344,472,618,183,4,98,936,421
현대 디올뉴 코나 현대 일렉트릭,소형,SUV,현대,전기차,"45,660,000",2023.04,,,,,64,664,238,355,208,337,432,212,4,58,352,208
현대 베뉴,소형,SUV,현대,,"21,460,000",2019.07,646,492,526,449,511,952,546,904,771,"1,182",776,526,323,323,283,295
현대 넥쏘,중형,SUV,현대,,"69,550,000",2018.03,307,884,694,327,410,305,371,293,237,189,232,79,2,331,268,252
현대 더뉴 아반떼N,준중형,세단,현대,,"33,520,000",2023.07,,,,,,,2,163,221,131,115,152,46,62,75,108
현대 아이오닉5N,중형,SUV,현대,전기차,"76,000,000",2023.09,,,,,,,,,93,95,54,28,5,3,47,35
현대 더뉴 아이오닉5,중형,SUV,현대,전기차,"54,100,000",2024.03,,,,,,,,,,,,,,,,"1,549"
BMW 7 Series,대형,세단,BMW,," 199,800,000 ",,,,163,214,261,388,305,423,368,210,545,377,87,332,388,412
BMW X7,대형,SUV,BMW,," 150,500,000 ",, 290 , 195 ,296,225,260,305,439,384,292,501,587,625,387,298,356,340
BMW X5,대형,SUV,BMW,," 128,000,000 ",,,,,,,2,287,369,467,380,463,568,585,599,566,364
BMW 5 Series,준대형,세단,BMW,," 89,200,000 ",,,,,,,,,,,613,1799,1980,1126,2160,2252,1530
BMW X6,대형,SUV,BMW,," 131,400,000 ",,,,,,,,192,256,277,254,283,425,256,298,304,235
BMW 6 Series,준대형,세단,BMW,," 95,500,000 ",, 389 , 653 ,468,396,522,699,434,445,550,467,434,223,124,185,175,210
BMW 8 sereis,대형,세단,BMW,," 148,500,000 ",, 30 , 26 ,45,37,58,74,40,50,53,75,83,78,32,64,45,44
BMW 3 series,중형,세단,BMW,," 57,000,000 ",, 515 , 292 ,388,578,399,679,532,497,842,958,197,357,207,235,422,487
BMW X4,중형,SUV,BMW,," 72,100,000 ",, 635 , 922 ,445,385,299,545,359,365,318,228,231,402,318,295,355,371
BMW i5,준대형,세단,BMW,전기차," 93,900,000 ",,,,,,,,,,37,107,88,514,190,137,195,199
BMW X1,소형,SUV,BMW,," 59,400,000 ",,, 15 ,9,111,95,176,98,120,189,192,395,457,123,190,172,206
BMW 1 series,준중형,세단,BMW,," 47,300,000 ",, 73 , 83 ,67,76,95,148,112,111,228,275,318,209,38,70,62,53
BMW i7,대형,세단,BMW,전기차," 166,900,000 ",, 7 , 21 ,28,41,27,64,38,96,165,159,176,236,42,78,60,68
BMW XM,대형,SUV,BMW,," 223,300,000 ",,,,15,0,114,67,3,0,29,63,60,44,33,34,37,10
BMW 2 series,준중형,세단,BMW,," 49,600,000 ",, 42 , 57 ,47,34,42,66,34,41,96,60,64,27,10,46,41,18
BMW Z4,스포츠카,스포츠카,BMW,," 74,500,000 ",,,,33,35,64,89,38,49,46,40,26,40,43,32,33,70
BMW X3,중형,SUV,BMW,," 84,300,000 ",, 731 , 404 ,605, 534 , 397 , 275 , 340 , 316 , 299 , 221 , 335 , 477 , 389 ,,,
BMW ix3,중형,SUV,BMW,전기차," 82,600,000 ",, 23 , 4 ,101,138,336,328,276,374,467,238,249,114,73,,,
